la_name,cluster,quintiles,score_in_cluster
Leeds,0.0,0,-1.9692325661224315
Dudley,0.0,0,-1.7818432197582466
Calderdale,0.0,0,-1.2332536910002116
Lancashire,0.0,0,-1.0781938681905816
Redcar and Cleveland,0.0,0,-0.8244124977465019
Bristol City of,0.0,0,-0.7265159871774108
Coventry,0.0,1,-0.6674424163037718
Portsmouth,0.0,1,-0.5960914424605765
Sheffield,0.0,1,-0.5278406490867402
Wakefield,0.0,1,-0.4444917490757587
Durham,0.0,1,-0.443105103376302
Kirklees,0.0,1,-0.38589842885128806
Plymouth,0.0,2,-0.2569868376412829
North Lincolnshire,0.0,2,-0.238082501179745
Rotherham,0.0,2,-0.12186935123240906
Southampton,0.0,2,-0.07927612118129694
Peterborough,0.0,2,-0.010084013977324145
Reading,0.0,2,0.1197720754732377
Stockton-on-Tees,0.0,3,0.14507268301223172
Doncaster,0.0,3,0.21293535645427172
Medway,0.0,3,0.31001108212417083
Southend-on-Sea,0.0,3,0.41755103880697814
Derby,0.0,3,0.7129860407201051
Bury,0.0,3,0.7325057454386046
Telford and Wrekin,0.0,4,0.7900620232801038
North East Lincolnshire,0.0,4,0.8199258136645513
Hartlepool,0.0,4,1.1650900901642989
Luton,0.0,4,1.7312699977684305
Thurrock,0.0,4,2.126924388346252
Greenwich,0.0,4,2.6409894967516325
